rank,feature,importance
191,rel_delta_CH17,0.000000
192,rel_delta_CH15,0.000000
193,rel_delta_CH14,0.000000
194,diffent_delta_CH15,0.000000
195,diffent_delta_CH16,0.000000
196,diffent_delta_CH17,0.000000
197,diffent_delta_CH18,0.000000
198,diffent_delta_CH19,0.000000
199,abs_theta_CH1,0.000000
200,abs_theta_CH2,0.000000
201,rel_delta_CH13,0.000000
202,abs_theta_CH4,0.000000
203,rel_theta_CH10,0.000000
204,rel_theta_CH11,0.000000
205,rel_theta_CH12,0.000000
206,rel_delta_CH5,0.000000
207,diffent_theta_CH15,0.000000
208,rel_delta_CH4,0.000000
209,diffent_theta_CH16,0.000000
210,rel_delta_CH3,0.000000
211,rel_delta_CH1,0.000000
212,diffent_theta_CH18,0.000000
213,diffent_theta_CH19,0.000000
214,abs_alpha_CH1,0.000000
215,abs_alpha_CH2,0.000000
216,abs_alpha_CH3,0.000000
217,abs_alpha_CH4,0.000000
218,abs_alpha_CH5,0.000000
219,abs_alpha_CH6,0.000000
220,abs_alpha_CH7,0.000000
221,abs_alpha_CH8,0.000000
222,abs_alpha_CH9,0.000000
223,abs_delta_CH19,0.000000
224,abs_alpha_CH10,0.000000
225,abs_alpha_CH11,0.000000
226,diffent_delta_CH1,0.000000
227,abs_alpha_CH13,0.000000
228,diffent_beta_CH12,0.000000
229,diffent_theta_CH14,0.000000
230,rel_theta_CH13,0.000000
231,diffent_theta_CH13,0.000000
232,rel_theta_CH14,0.000000
233,rel_theta_CH15,0.000000
234,rel_theta_CH16,0.000000
235,rel_theta_CH17,0.000000
236,rel_theta_CH18,0.000000
237,rel_theta_CH19,0.000000
238,diffent_theta_CH1,0.000000
239,diffent_theta_CH2,0.000000
240,diffent_theta_CH3,0.000000
241,rel_delta_CH8,0.000000
242,diffent_theta_CH4,0.000000
243,rel_delta_CH7,0.000000
244,diffent_theta_CH5,0.000000
245,diffent_theta_CH6,0.000000
246,diffent_theta_CH7,0.000000
247,diffent_theta_CH8,0.000000
248,rel_delta_CH6,0.000000
249,diffent_theta_CH9,0.000000
250,diffent_theta_CH10,0.000000
251,diffent_theta_CH11,0.000000
252,diffent_theta_CH12,0.000000
253,diffent_beta_CH11,0.000000
254,hjorth_complexity_CH19,0.000000
255,diffent_beta_CH13,0.000000
256,kurtosis_CH1,0.000000
257,skewness_CH6,0.000000
258,skewness_CH8,0.000000
259,skewness_CH10,0.000000
260,skewness_CH11,0.000000
261,skewness_CH12,0.000000
262,skewness_CH13,0.000000
263,skewness_CH14,0.000000
264,skewness_CH15,0.000000
265,skewness_CH16,0.000000
266,skewness_CH17,0.000000
267,skewness_CH19,0.000000
268,kurtosis_CH2,0.000000
269,skewness_CH2,0.000000
270,kurtosis_CH3,0.000000
271,kurtosis_CH4,0.000000
272,kurtosis_CH5,0.000000
273,kurtosis_CH6,0.000000
274,kurtosis_CH7,0.000000
275,kurtosis_CH8,0.000000
276,kurtosis_CH10,0.000000
277,kurtosis_CH11,0.000000
278,kurtosis_CH13,0.000000
279,kurtosis_CH14,0.000000
280,kurtosis_CH15,0.000000
281,skewness_CH4,0.000000
282,skewness_CH1,0.000000
283,mean_CH6,0.000000
284,variance_CH5,0.000000
285,mean_CH10,0.000000
286,mean_CH11,0.000000
287,mean_CH12,0.000000
288,mean_CH13,0.000000
289,mean_CH14,0.000000
290,mean_CH16,0.000000
291,mean_CH17,0.000000
292,mean_CH18,0.000000
293,mean_CH19,0.000000
294,variance_CH2,0.000000
295,variance_CH4,0.000000
296,variance_CH6,0.000000
297,variance_CH19,0.000000
298,variance_CH7,0.000000
299,variance_CH9,0.000000
300,variance_CH10,0.000000
301,variance_CH11,0.000000
302,variance_CH12,0.000000
303,variance_CH13,0.000000
304,variance_CH14,0.000000
305,variance_CH15,0.000000
306,variance_CH16,0.000000
307,variance_CH17,0.000000
308,variance_CH18,0.000000
309,kurtosis_CH16,0.000000
310,kurtosis_CH17,0.000000
311,kurtosis_CH18,0.000000
312,hjorth_complexity_CH5,0.000000
313,hjorth_mobility_CH11,0.000000
314,hjorth_mobility_CH12,0.000000
315,hjorth_mobility_CH14,0.000000
316,hjorth_mobility_CH15,0.000000
317,hjorth_mobility_CH16,0.000000
318,hjorth_mobility_CH17,0.000000
319,hjorth_mobility_CH19,0.000000
320,hjorth_complexity_CH1,0.000000
321,hjorth_complexity_CH2,0.000000
322,hjorth_complexity_CH3,0.000000
323,hjorth_complexity_CH4,0.000000
324,hjorth_complexity_CH6,0.000000
325,kurtosis_CH19,0.000000
326,hjorth_complexity_CH7,0.000000
327,hjorth_complexity_CH8,0.000000
328,hjorth_complexity_CH9,0.000000
329,hjorth_complexity_CH10,0.000000
330,hjorth_complexity_CH11,0.000000
331,hjorth_complexity_CH12,0.000000
332,hjorth_complexity_CH13,0.000000
333,hjorth_complexity_CH14,0.000000
334,hjorth_complexity_CH15,0.000000
335,hjorth_complexity_CH16,0.000000
336,hjorth_complexity_CH17,0.000000
337,hjorth_mobility_CH10,0.000000
338,hjorth_mobility_CH9,0.000000
339,hjorth_mobility_CH8,0.000000
340,hjorth_mobility_CH7,0.000000
341,hjorth_activity_CH2,0.000000
342,hjorth_activity_CH3,0.000000
343,hjorth_activity_CH4,0.000000
344,hjorth_activity_CH5,0.000000
345,hjorth_activity_CH6,0.000000
346,hjorth_activity_CH7,0.000000
347,hjorth_activity_CH8,0.000000
348,hjorth_activity_CH9,0.000000
349,hjorth_activity_CH10,0.000000
350,hjorth_activity_CH11,0.000000
351,hjorth_activity_CH12,0.000000
352,hjorth_activity_CH13,0.000000
353,hjorth_activity_CH14,0.000000
354,hjorth_activity_CH15,0.000000
355,hjorth_activity_CH16,0.000000
356,hjorth_activity_CH17,0.000000
357,hjorth_activity_CH18,0.000000
358,hjorth_activity_CH19,0.000000
359,hjorth_mobility_CH1,0.000000
360,hjorth_mobility_CH3,0.000000
361,hjorth_mobility_CH4,0.000000
362,hjorth_mobility_CH5,0.000000
363,hjorth_mobility_CH6,0.000000
364,mean_CH9,0.000000
365,mean_CH4,0.000000
366,diffent_beta_CH14,0.000000
367,diffent_gamma_CH3,0.000000
368,rel_gamma_CH9,0.000000
369,rel_gamma_CH10,0.000000
370,rel_gamma_CH11,0.000000
371,rel_gamma_CH12,0.000000
372,rel_gamma_CH13,0.000000
373,rel_gamma_CH14,0.000000
374,rel_gamma_CH15,0.000000
375,rel_gamma_CH17,0.000000
376,rel_gamma_CH18,0.000000
377,rel_gamma_CH19,0.000000
378,diffent_gamma_CH2,0.000000
379,diffent_gamma_CH4,0.000000
380,rel_gamma_CH7,0.000000
381,diffent_gamma_CH5,0.000000
382,diffent_gamma_CH6,0.000000
383,diffent_gamma_CH7,0.000000
384,diffent_gamma_CH9,0.000000
385,diffent_gamma_CH10,0.000000
386,diffent_gamma_CH11,0.000000
387,diffent_gamma_CH12,0.000000
388,diffent_gamma_CH13,0.000000
389,diffent_gamma_CH14,0.000000
390,diffent_gamma_CH15,0.000000
391,diffent_gamma_CH16,0.000000
392,rel_gamma_CH8,0.000000
393,rel_gamma_CH6,0.000000
394,mean_CH1,0.000000
395,abs_gamma_CH9,0.000000
396,diffent_beta_CH15,0.000000
397,diffent_beta_CH16,0.000000
398,diffent_beta_CH17,0.000000
399,diffent_beta_CH18,0.000000
400,diffent_beta_CH19,0.000000
401,abs_gamma_CH1,0.000000
402,abs_gamma_CH2,0.000000
403,abs_gamma_CH4,0.000000
404,abs_gamma_CH5,0.000000
405,abs_gamma_CH6,0.000000
406,abs_gamma_CH7,0.000000
407,hjorth_complexity_CH18,0.000000
408,rel_gamma_CH5,0.000000
409,abs_gamma_CH11,0.000000
410,abs_gamma_CH13,0.000000
411,abs_gamma_CH14,0.000000
412,abs_gamma_CH15,0.000000
413,abs_gamma_CH16,0.000000
414,abs_gamma_CH17,0.000000
415,abs_gamma_CH18,0.000000
416,abs_gamma_CH19,0.000000
417,rel_gamma_CH1,0.000000
418,rel_gamma_CH3,0.000000
419,rel_gamma_CH4,0.000000
420,diffent_gamma_CH17,0.000000
421,diffent_gamma_CH18,0.000000
422,diffent_gamma_CH19,0.000000
423,gamma_theta_ratio_CH5,0.000000
424,alpha_theta_ratio_CH12,0.000000
425,alpha_theta_ratio_CH13,0.000000
426,alpha_theta_ratio_CH14,0.000000
427,alpha_theta_ratio_CH15,0.000000
428,alpha_theta_ratio_CH16,0.000000
429,alpha_theta_ratio_CH17,0.000000
430,alpha_theta_ratio_CH18,0.000000
431,alpha_theta_ratio_CH19,0.000000
432,gamma_theta_ratio_CH1,0.000000
433,gamma_theta_ratio_CH3,0.000000
434,gamma_theta_ratio_CH4,0.000000
435,gamma_theta_ratio_CH6,0.000000
436,spectral_entropy_CH1,0.000000
437,gamma_theta_ratio_CH8,0.000000
438,gamma_theta_ratio_CH9,0.000000
439,gamma_theta_ratio_CH10,0.000000
440,gamma_theta_ratio_CH11,0.000000
441,gamma_theta_ratio_CH13,0.000000
442,gamma_theta_ratio_CH14,0.000000
443,gamma_theta_ratio_CH15,0.000000
444,gamma_theta_ratio_CH16,0.000000
445,gamma_theta_ratio_CH17,0.000000
446,gamma_theta_ratio_CH18,0.000000
447,gamma_theta_ratio_CH19,0.000000
448,alpha_theta_ratio_CH11,0.000000
449,alpha_theta_ratio_CH10,0.000000
450,alpha_theta_ratio_CH9,0.000000
451,alpha_theta_ratio_CH8,0.000000
452,spectral_entropy_CH2,0.000000
453,spectral_entropy_CH3,0.000000
454,spectral_entropy_CH4,0.000000
455,spectral_entropy_CH5,0.000000
456,spectral_entropy_CH6,0.000000
457,spectral_entropy_CH7,0.000000
458,spectral_entropy_CH8,0.000000
459,spectral_entropy_CH9,0.000000
460,spectral_entropy_CH10,0.000000
461,spectral_entropy_CH11,0.000000
462,spectral_entropy_CH12,0.000000
463,spectral_entropy_CH14,0.000000
464,spectral_entropy_CH15,0.000000
465,spectral_entropy_CH17,0.000000
466,spectral_entropy_CH18,0.000000
467,spectral_entropy_CH19,0.000000
468,alpha_theta_ratio_CH1,0.000000
469,alpha_theta_ratio_CH2,0.000000
470,alpha_theta_ratio_CH3,0.000000
471,alpha_theta_ratio_CH4,0.000000
472,alpha_theta_ratio_CH5,0.000000
473,alpha_theta_ratio_CH6,0.000000
474,alpha_theta_ratio_CH7,0.000000
475,abs_gamma_CH10,0.000000
